time,tx_packets,rx_packets,drop_rate,avg_latency
0,1247794,1182054,0.05224900905117347,0.43165555835541747
1000,1270051,1128638,0.11145379201307659,0.45365658277056514
2000,1173799,1153664,0.017065954222145407,0.42004754859516696
3000,1174163,1162280,0.010158725832784765,0.41163448011804843
4000,1108337,1100950,0.006692910188868528,0.38906132058761816
5000,1179284,1178909,0.0003018780887386052,0.39424375364738135
6000,1175526,1163941,0.00985941612520691,0.4004266557611415
7000,1219780,1207731,0.009848497269999479,0.42409090495103774
8000,1199939,1190854,0.007566217949412479,0.4114371126748736
9000,1146992,1121268,0.022419511208447873,0.40109179087772245
10000,1214905,1202344,0.010237837526390958,0.42021527409899817
11000,1204574,1167450,0.030919644621251963,0.45412475831577903
12000,1218915,1175918,0.03517800666986626,0.47209184072596416
13000,1212860,1157191,0.04600530976369899,0.4674252546535968
14000,1214368,1161376,0.04360210413976651,0.46260996246832536
15000,1219504,1191976,0.022613291961322002,0.44499872894900444
16000,1216529,1208835,0.006336059395213756,0.42583393240190237
17000,1212091,1206153,0.004853595975879754,0.4331301069135671
18000,1215468,1147699,0.05572092395686268,0.4684166549770375
19000,1202785,1141663,0.050833690144123866,0.46167672380945707
20000,1257881,1218831,0.03101326755074607,0.4683108124738487
21000,1252934,1229204,0.018942737606290505,0.4671501789781972
22000,1244414,1236629,0.006243099161533094,0.45199632877664975
23000,1174623,1163529,0.009418341033676336,0.43804273092921725
24000,1263351,1246758,0.013269471429555257,0.4538319427364476
25000,1219972,1205559,0.011733056168502176,0.4258902607538788
26000,1228430,1202937,0.020813558770137464,0.4483739614353101
27000,1199860,1170190,0.02470204857233349,0.45205563735396986
28000,1219950,1202082,0.014617812205418246,0.4513346038696733
29000,1214893,1148669,0.05451920457192527,0.4715703020394234
30000,1238693,1143148,0.07712887696951543,0.5039023613616364
31000,1219446,1178452,0.033591483345716044,0.4734230362253847
32000,1206987,1153596,0.04435590441322068,0.4711691013914777
33000,1231674,1175976,0.04497943449321817,0.4890348677263971
34000,1240763,1153890,0.07015038327222844,0.47553702231818207
35000,1238019,1158678,0.06406202166525721,0.47581662004869213
36000,1214884,1174087,0.03365012626719921,0.44943752273205434
37000,1213737,1120492,0.07684284157111465,0.4680366274866797
38000,1178787,1104114,0.06328963587145087,0.4515261071091541
39000,1247918,1219740,0.022634500023238746,0.4769749572016083
40000,1246932,1215141,0.025434426255802278,0.4547615775618675
41000,1233959,1225863,0.006607999131251541,0.4323093803663715
42000,1211490,1169692,0.034482331674219324,0.44716448023663885
43000,1099800,1078696,0.01924077104928168,0.4180750000695321
44000,1202842,1183658,0.015915639793090075,0.448603444459651
45000,1218545,1167072,0.04226844310222433,0.4678181277575128
46000,1150462,1108653,0.03639059786416243,0.4405879148039502
47000,1164162,1142028,0.019005086920892422,0.4438630272048979
48000,1226601,1194269,0.02621308803759337,0.46048048973249567
49000,1225743,1198534,0.022273021342973154,0.4435483736384406
50000,1242241,1236460,0.004666566310401965,0.42353636719495585
51000,1248099,1233711,0.011473448820966903,0.43235457889946255
52000,1249455,1225942,0.018856221312492205,0.45295151705488645
53000,1250929,1244679,0.0049699063655891385,0.4509043055743015
54000,1246492,1238450,0.00648620287976176,0.4443216163991321
55000,1249508,1228738,0.016616940427752414,0.4532486398723901
