time,tx_packets,rx_packets,drop_rate,avg_latency
0,1315071,970902,0.2610954085368775,0.8413017437265362
1000,1373061,963249,0.2985249744913008,0.8402210206319147
2000,1349312,989900,0.2663246158042024,0.8140131339037958
3000,1343375,961883,0.28404280264259796,0.8288197430024361
4000,1282791,914133,0.28732583873756523,0.8170479057374
5000,1249224,898001,0.2812457973910203,0.7758187295700452
6000,1335580,976177,0.26895506072268227,0.7873345016074865
7000,1215258,877520,0.2780487764738022,0.764698976585358
8000,1213337,924237,0.238266862380361,0.7445206272403566
9000,1297207,943336,0.27269202216762634,0.8055262017088002
10000,1245962,924735,0.25785377082126104,0.8009421576621686
11000,1274928,933189,0.26809278641617407,0.7982990561862293
12000,1263266,942199,0.2541182933760585,0.8092548981318062
13000,1258489,904779,0.28112363318233213,0.8308894238740442
14000,1242096,938819,0.2440769473535057,0.7762322816741202
15000,1334820,999536,0.2511784360438112,0.8448669490626707
16000,1366430,1000815,0.26753437790446644,0.8603625071563241
17000,1234196,982096,0.204407565735102,0.7467240102778544
18000,1212381,944664,0.2208472419148766,0.7211077353037697
19000,1219983,926465,0.24053122051700715,0.8185861577332416
20000,1188294,881422,0.2582652104613842,0.7225320201180169
21000,1225326,900458,0.26525185950514396,0.7165208273631409
22000,1209137,883419,0.2691936480316126,0.7233527038573183
23000,1174707,882387,0.2486330633936803,0.8057035969527642
24000,1261566,948187,0.24867426674466497,0.8258315951836108
25000,1241268,929632,0.25096917023559784,0.7736074721322337
26000,1263605,1003496,0.20584122411671368,0.7694536040251001
27000,1257036,1012465,0.19458949465249997,0.7458579852434243
28000,1180067,861995,0.26950079953087414,0.7600500209967542
29000,1163079,902271,0.22436910992288572,0.7221733250565335
30000,1193942,996797,0.16495189883595684,0.8261402468808895
31000,1263996,973008,0.23024835521631393,0.8132673082121314
32000,1227743,969249,0.21057094196423842,0.8147172560089805
33000,1287342,936657,0.27243809337378877,0.901788450184226
34000,1164019,900684,0.2262050705357902,1.2507505173684819
35000,1222127,968110,0.20793419996448814,0.7717491128661526
36000,1177219,1000511,0.15002221336896537,0.7797943254614685
37000,1168225,976301,0.16429540542275678,0.7875797277655945
38000,1166782,961752,0.1757080585747809,0.8379195004205792
39000,1098414,950963,0.13444748519228633,0.7065070708451882
40000,1084567,943436,0.1299726065793999,0.7021014134122083
41000,1121479,944030,0.1582187450678969,1.0691549086903098
42000,1138941,899355,0.21042793261459547,0.7934182609121115
43000,1135169,913484,0.1953286250769709,0.7334761636805125
44000,1184929,947370,0.20028119828276636,0.8280146895874885
45000,1173950,1082164,0.07819583457557822,0.9346672186532021
46000,1174350,977662,0.16750542853493422,0.8412278548340902
47000,1272657,1043660,0.17991414811689244,0.8061441733544891
48000,1275000,987438,0.22550588235294122,0.7875288613440272
49000,1262066,968801,0.23248387960693018,0.7995346129069556
50000,1231443,1004436,0.18431790996416397,0.7635201191478855
51000,1248633,1011232,0.19014233966265504,0.781720998996257
52000,1264634,988708,0.21809709370458175,0.7871171829886299
53000,1252877,989153,0.21053064267282418,0.8107001459901244
54000,1210856,932998,0.2295301836056476,0.7573639123276394
55000,1224661,1026036,0.1620358613526519,0.7123205310351951
